SOURCE_ROW_NUMBER,listing_id,brand,model,sub_model,model_year,raw_price,title,source_url,price,STATUS,REASON,GROUP_USED,GROUP_SIZE,GROUP_MEDIAN_PRICE,GROUP_LOG_MAD,PRICE_TO_MEDIAN_RATIO,MODIFIED_Z_SCORE
26977,19330934,Toyota,VIOS,Entry,2021,"฿349,000",2021 Toyota VIOS 1.5 (ปี 17-22) Entry Sedan,https://www.one2car.com/en/for-sale/toyota-vios-entry-bangkok-metropolitan-sukhaphiban1-2-3/19330934?auc=true,349000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,32,338999.9999999998,0.038030019355021594,1.0294985250737465,0.19608939097423533
26978,19330930,Honda,CIVIC,EL,2020,"฿529,000",2020 Honda CIVIC 1.8 FC (ปี 16-20) EL Sedan,https://www.one2car.com/en/for-sale/honda-civic-el-eastern-region-mueang-rayong/19330930,529000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,49,539000.0000000001,0.10554602720645256,0.9814471243042667,-0.11967722162567318
26979,19330926,Honda,HR-V,e:HEV RS,2022,"฿627,000",2022 Honda HR-V 1.5 (ปี 22-28) e:HEV RS SUV,https://www.one2car.com/en/for-sale/honda-hr-v-e-hev-rs-bangkok-metropolitan-srinagarindra-thepharak/19330926?auc=true,627000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,21,728999.9999999999,0.07909258883721648,0.8600823045267483,-1.0166549058293541
26980,19330917,Kia,CARNIVAL,Limited,2022,"฿1,179,000",2022 Kia CARNIVAL 2.2 (ปี 20-26) Limited Wagon,https://www.one2car.com/en/for-sale/kia-carnival-limited-bangkok-metropolitan-kanchanaphisek/19330917,1179000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,16,1218347.5144637513,0.06062303378640266,0.9677041944136359,-0.22143040903990427
26981,19330901,Toyota,INNOVA,Crysta Premium,2021,"฿589,000",2021 Toyota INNOVA 2.8 (ปี 16-22) Crysta Premium Wagon,https://www.one2car.com/en/for-sale/toyota-innova-crysta-premium-bangkok-metropolitan-pattanakarn-rama-ix/19330901,589000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,44,619000.0000000005,0.07149284798182531,0.9515347334410337,-0.3350854555276501
26982,19330891,Isuzu,D-MAX,L Space Cab,2013,"฿239,000",2013 Isuzu D-MAX 2.5 Space Cab (ปี 11-17) L Pickup,https://www.one2car.com/en/for-sale/isuzu-d-max-l-space-cab-northern-region-mueang-chiang-mai/19330891,239000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,60,330000.0000000001,0.0986490810698406,0.724242424242424,-2.1761332965582096
26983,19330881,Honda,City,SV,2012,"฿229,000",2013 Honda City 1.5 (ปี 08-14) SV Sedan,https://www.one2car.com/en/for-sale/honda-city-sv-bangkok-metropolitan-bang-bua-thong/19330881,229000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,25,198999.9999999999,0.09119023806459658,1.1507537688442206,0.9471138712066421
26984,19307871,Toyota,YARIS,E,2015,"฿249,000",2015 Toyota YARIS 1.2 (ปี 13-17) E Hatchback,https://www.one2car.com/en/for-sale/toyota-yaris-e-bangkok-metropolitan-pinklao-borommaratchachonnani-road/19307871?auc=true,249000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,19,239000.00000000003,0.08036450976802634,1.0418410041840998,0.2764731288764094
26985,18956462,Nissan,Kicks,V,2022,"฿448,000",2022 Nissan Kicks 1.2 (ปี 20-26) V SUV,https://www.one2car.com/en/for-sale/nissan-kicks-v-eastern-region-si-racha/18956462,448000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,22,508411.2508589873,0.09396354876270419,0.8811764083565832,-0.8532252098030261
26986,19330765,Nissan,ALMERA,E Sportech,2017,"฿169,000",2017 Nissan ALMERA 1.2 (ปี 11-19) E Sportech Sedan,https://www.one2car.com/en/for-sale/nissan-almera-e-sportech-bangkok-metropolitan-mueang-pathum-thani/19330765,169000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,24,198999.9999999999,0.09576690509200958,0.8492462311557798,-1.1021742106105636
26987,19330732,Mercedes-Benz,C200,Avantgarde,2015,"฿435,000",2015 Mercedes-Benz C200 2.0 W205 (ปี 14-22) Avantgarde Sedan,https://www.one2car.com/en/for-sale/mercedes-benz-c200-avantgarde-bangkok-metropolitan-ratchadaphisek-huai-khwang-lat-phrao-phetchaburi/19330732,435000.0,INSUFFICIENT_GROUP_DATA,NO_RELIABLE_COMPARISON_GROUP,,,,,,
26988,19324346,Mercedes-Benz,GLA35,AMG 4MATIC,2022,"฿1,490,000",2022 Mercedes-Benz GLA35 2.0 W247 (ปี 20-27) AMG 4MATIC 4WD SUV,https://www.one2car.com/en/for-sale/mercedes-benz-gla35-amg-4matic-bangkok-metropolitan-phaholyothin-bang-sue-chatuchak/19324346,1490000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL,28,1494493.2251435607,0.06398816027439835,0.996993479081761,-0.02030952942753278
26989,19316771,Toyota,ALPHARD,S C-Package,2021,"฿1,990,000",2021 Toyota ALPHARD 2.5 (ปี 15-23) S C-Package Van,https://www.one2car.com/en/for-sale/toyota-alphard-s-c-package-bangkok-metropolitan-phaholyothin-bang-sue-chatuchak/19316771,1990000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,31,1898999.9999999993,0.046807206906253285,1.0479199578725655,0.31571461058267836
